Name,Address,Borough,Latitude,Longitude,Pros,Cons
Urban Baristas,"19 Dacre St, London SW1H 0DJ",Westminster,51.4988,-0.1332,"- Excellent hotspot sharing speed (250+Mbps)
- Plenty of sockets available
- Scandinavian design",- Flat white can be a bit pricy (£4.2) compared to other cafe offerring
Costa Coffee,"7 Olympic Way, London HA9 0NP",Brent,51.5629,-0.2797,"- Decent data speed (130Mbps - tables near window)
- Socket available
- Opening til 6 on Sunday
- Great location (between Wembley stadium and Wembley Park station)",- Few sockets available near tables that are near windows
BOXPARK Wembley,"Olympic Way, Wembley Park, Wembley HA9 0JT",Brent,51.5602,-0.2801,"- Decent Internet hotspot speed (~50 Mbps at the first floor)
- Enough seats and sockets available","- No AC available
- Closed on Sunday"
Starbucks,"Olympic Way, Wembley Park, Wembley HA9 0FR",Brent,51.5615,-0.2798,"- Excellent hotspot coverage (> 200MBps)
- Plenty of seats and sockets available",- The sockets location are pretty bad such that you can’t insert a tall charger on)
Brent Civic Centre,"Engineers Way, Wembley Park, Wembley HA9 0FJ",Brent,51.559,-0.2815,"- Excellent Internet hotspot speed (~ 200Mbps at the first flloor)
- Enough seats available at the first floor","- Fewer sockets available (near bathroom)
- No AC available
- Closed on Sunday"
Costa Coffee,"Unit 49, Wembley Park, Wembley HA9 0FD",Brent,51.5567,-0.2839,- Great Internet hotspot speed (> 130 Mbps near the window),"- Location (far away from Wembley Park station)
- Fewer sockets available"
Pret A Manger,"Units 46, Designer Outlet, 48 Wembley Park Blvd, Wembley Park, Wembley HA9 0FD",Brent,51.5567,-0.2839,"- Excellent hotspot coverage speed (~150 Mbps)
- Plenty of seats
- AC is relatively strong","- 4 pairs of sockets available
- Awful Flat White"
Mowchi Wembley,"Unit 5A, London Designer Outlet, Wembley Park Blvd, Wembley Park, London, Wembley HA9 0TG",Brent,51.5571006,-0.2826392,"- Excellent hotspot speed (>200 Mbps)
- Lovely interior design
- Food and beverage are decently priced
- Stamp cards available in the future (not confirmed)
",- only a few tables for working with laptops
Costa Coffee,"Unit 3 Kings Cross & St Pancra, Euston Rd., London N1 9AL",Camden,51.5303,-0.1235,"- Great location (near Kings Cross station)
- Decent hotspot speed (>100Mbps)
",- 4 sockets available near window
Starbucks,"101 Euston Rd., London NW1 2RA",Camden,51.5291,-0.1278,"- next to British Library
- plenty of seats and sockets (looks like one socket per table
",- Poor hotspot speed (<50Mbps)
Starbucks Coffee,"Starbucks Euston Station The Mezzanine Floor, London NW1 2DU",Camden,51.5284,-0.1331,"- inside Euston station
- excellent hotspot speed (>250Mbps when the station is not full of people)
",- Sockets available but for tables near the wall
Starbucks Coffee,"St. Katherine's House, 10 Kingsway, London WC2B 6LH",Westminster,51.5137,-0.1173,"- near LSE for meetup
- Excellent hotspot speed (300+Mbps; checked at 7am); not sure how it would look like during busy hours
- Plenty of sockets and tables available",
Pret A Manger,"130 W End Ln, London NW6 1SA",Camden,51.5478,-0.1906,"- next to West Hampstead station 
- opens at 7am - 7:30pm on Sunday
- Decent hotspot speed (80-100Mbps)","- Small cafe
- no sockets available"
Costa,"63 - 65 College Rd, Harrow HA1 1FD",Harrow,51.5815,-0.3347,"- plenty of seats and sockets available
- opens at 6am during weekdays and Sat; 7am on Sun
- next to tube station","- Poor hotspot speed (<50Mbps)
- Flat white is bad"
Pret A Manger,"87-88 Strand, London WC2R 0DW",Westminster,51.5103,-0.1214,- Decent hotspot speed (50-100Mbps),- only six sockets available (underneath bar tables)
Caffè Nero,"27 St. Anns Rd, Harrow HA1 1JU",Harrow,51.5811,-0.3375,"- Great location (high street)
- Plenty of sockets available
- Relatively strong AC
- Opens at 8 on Sunday (that's a PLUS!)",- Poor hotspot coverage & speed (~30Mbps)
Costa Coffee,"76-80 St. Anns Rd, Harrow HA1 1JX",Harrow,51.5817,-0.3368,"- Lots of sockets available at both ground and first floor
- Great location","- Poor hotspot speed (~60 Mbps); downstairs near the backdoor
- Terrible flat white"
Pret A Manger,"257-258 Upper St, London N1 1RU, United Kingdom",Islington,51.5428,-0.1021,"- Excellent location (1 min walk from tube station)
- plenty of seats and sockets available (both front and at the back)
- Excellent hotspot speed (> 600Mbps on a Saturday morning)
- Open at 6 during the weekend!",
Euphorium Highbury,"202 Upper St, London N1 1RQ, United Kingdom",Islington,51.5426,-0.1033,"- plenty of seats and sockets available
- fancy interior design 
- Loyalty card available ",- Poor hotspot speed at the back of the cafe (<1Mbps)
